(-0.0787, -0.4444)
(-0.0775, -0.4438)
(-0.0763, -0.4453)
(-0.0761, -0.4465)
(-0.0757, -0.4445)
(-0.0794, -0.4443)
(-0.0802, -0.4439)
(-0.0789, -0.4448)
(-0.0797, -0.4433)
(-0.0975, -0.5084)
(-0.0808, -0.5004)
(-0.0853, -0.5024)
(-0.0893, -0.4999)
(-0.0961, -0.5107)
(-0.1019, -0.5100)
(-0.1021, -0.5074)
(-0.1029, -0.5122)
(-0.1014, -0.5088)
(-0.0981, -0.5129)
(-0.0950, -0.5100)
(-0.0952, -0.5128)
(-0.0974, -0.5122)
(-0.0946, -0.5123)
(-0.0970, -0.5115)
(-0.0974, -0.5121)
(-0.0988, -0.5138)
(-0.0966, -0.5152)
(-0.0970, -0.5136)
(-0.0956, -0.5122)
(-0.0955, -0.5139)
(-0.0966, -0.5156)
(-0.0960, -0.5171)
(-0.0954, -0.5189)
(-0.0968, -0.5203)
(-0.0969, -0.5188)
(-0.0991, -0.5192)
(-0.0998, -0.5178)
(-0.1090, -0.5273)
(-0.1082, -0.5245)
(-0.1086, -0.5243)
(-0.1117, -0.5248)
(-0.1149, -0.5236)
(-0.1154, -0.5224)
(-0.0245, -0.4258)
(0.1327, -0.2232)
(0.2338, 0.0090)
(0.2906, 0.0952)
(0.2895, 0.1253)
(0.2826, 0.1158)
(0.2690, 0.1193)
(0.3294, 0.1297)
(0.2853, 0.1154)
(0.3110, 0.1183)
(0.3774, 0.1371)
(0.3794, 0.1394)
(0.3765, 0.1385)
(0.3256, 0.1223)
(0.3261, 0.1237)
(0.3473, 0.1312)
(0.3704, 0.1666)
(0.3522, 0.1980)
(0.3557, 0.1938)
(0.3610, 0.2104)
(0.3622, 0.1940)
(0.3626, 0.1940)
(0.3626, 0.1968)
(0.3634, 0.1966)
(0.3618, 0.1960)
(0.2999, 0.1684)
(0.3001, 0.1672)
(0.3042, 0.1701)
(0.3099, 0.1739)
(0.3134, 0.1754)
(0.3136, 0.1749)
(0.3109, 0.1735)
(0.3114, 0.1735)
(0.3132, 0.1737)
(0.3148, 0.1738)
(0.3143, 0.1737)
(0.3172, 0.1711)
(0.3153, 0.1699)
(0.3156, 0.1696)
(0.3154, 0.1698)
(0.3140, 0.1692)
(0.3129, 0.1697)
(0.3122, 0.1679)
(0.3105, 0.1682)
(0.3122, 0.1676)
(0.3119, 0.1666)
(0.3122, 0.1642)
(0.3145, 0.1663)
(0.3179, 0.1666)
(0.3179, 0.1663)
(0.3175, 0.1663)
(0.3163, 0.1633)
(0.3146, 0.1633)
(0.3147, 0.1644)
(0.3142, 0.1647)
(0.3150, 0.1677)
(0.3147, 0.1703)
(0.3141, 0.1717)
(0.3142, 0.1713)
(0.3107, 0.1719)
(0.3124, 0.1719)
(0.3131, 0.1724)
(0.3149, 0.1713)
(0.3142, 0.1717)
(0.3166, 0.1697)
(0.3180, 0.1710)
(0.3168, 0.1713)
(0.3174, 0.1726)
(0.3179, 0.1718)
(0.3193, 0.1725)
(0.3174, 0.1748)
(0.3162, 0.1741)
(0.3151, 0.1750)
(0.3162, 0.1737)
(0.3152, 0.1735)
(0.3143, 0.1734)
(0.3126, 0.1739)
(0.3119, 0.1735)
(0.3117, 0.1725)
(0.3130, 0.1723)
(0.3135, 0.1712)
(0.3133, 0.1721)
(0.3123, 0.1725)
(0.3085, 0.1716)
(0.3084, 0.1704)
(0.3082, 0.1684)
(0.3073, 0.1748)
(0.3041, 0.1699)
(0.3036, 0.1706)
(0.0000, 0.0000)
(0.3035, 0.1703)
(0.3037, 0.1714)
(0.3086, 0.1787)
(0.1464, 0.0575)
(0.0713, -0.0272)
(0.0412, -0.1100)
(0.0165, -0.0963)
(0.0219, -0.1125)
(0.0160, -0.1093)
(0.1649, -0.1324)
(0.1732, -0.1305)
(0.1466, -0.1140)
(0.0191, -0.1107)
(0.0265, -0.1129)
(0.0441, -0.1130)
(0.0734, -0.1152)
(0.0598, -0.1151)
(0.0742, -0.1041)
(-0.0985, -0.0570)
(-0.1008, -0.0506)
(-0.1026, -0.0456)
(-0.1062, -0.0472)
(-0.1078, -0.0523)
(-0.1090, -0.0476)
(-0.1093, -0.0468)
(-0.1105, -0.0454)
(-0.1126, -0.0428)
(-0.1097, -0.0418)
(-0.1039, -0.0406)
(-0.0833, -0.0430)
(-0.0189, -0.0615)
(-0.0215, -0.0553)
(-0.0325, -0.0525)
(-0.0401, -0.0521)
(-0.0999, -0.0365)
(-0.1000, -0.0371)
(-0.1029, -0.0378)
(-0.1026, -0.0374)
(-0.0131, -0.0588)
(-0.0106, -0.0615)
(-0.0107, -0.0594)
(-0.0098, -0.0627)
(-0.0034, -0.0637)
(-0.0032, -0.0630)
(-0.0005, -0.0647)
(-0.1020, -0.0490)
(-0.0820, -0.0856)
(-0.0772, -0.1157)
(-0.0650, -0.1274)
(-0.0663, -0.1344)
(-0.0665, -0.1300)
(-0.0673, -0.1273)
(-0.0143, -0.1356)
(0.0046, -0.1387)
(0.0154, -0.1421)
(0.0172, -0.1425)
(0.0142, -0.1409)
(0.0138, -0.1410)
(0.0143, -0.1417)
(0.0145, -0.1414)
(0.0133, -0.1424)
(0.0094, -0.1428)
(0.0058, -0.1436)
(0.0053, -0.1443)
(0.0055, -0.1447)
(0.0084, -0.1446)
(0.0143, -0.1441)
(0.0155, -0.1441)
(0.0126, -0.1378)
(0.0092, -0.1342)
(-0.0523, -0.1138)
(0.0423, 0.0168)
(0.0000, 0.0000)
(0.0000, 0.0000)
