word,x,y,z
BALANCE,-0.3323905,-0.503138,3.831506
BALANCE,-0.3385309,-0.5072708,3.842666
BALANCE,-0.3192865,-0.4955762,3.853898
BALANCE,-0.3471346,-0.4694111,3.864844
BALANCE,-0.3314522,-0.4936919,3.876134
BALANCE,-0.3100367,-0.4867733,3.887169
BALANCE,-0.3261281,-0.4880373,3.898202
BALANCE,-0.3093839,-0.4940372,3.909202
BALANCE,-0.3040535,-0.5012016,3.922555
BALANCE,-0.3013107,-0.4999496,3.931574
BALANCE,-0.31611,-0.5089123,3.942684
BALANCE,-0.2418407,-0.5399393,3.953793
BALANCE,-0.2285998,-0.536841,3.964861
BALANCE,-0.1518979,-0.5637344,3.975924
BALANCE,-0.1013116,-0.5873433,3.98712
BALANCE,-0.1165245,-0.5984223,3.998412
BALANCE,-0.1230881,-0.6139082,4.009302
BALANCE,-0.109568,-0.6095549,4.020482
BALANCE,-0.100224,-0.6031198,4.031527
BALANCE,-0.1887655,-0.5676057,4.04244
BALANCE,-0.06243622,-0.6101999,4.054201
BALANCE,-0.1140278,-0.6150199,4.065442
BALANCE,-0.1044532,-0.6161135,4.079006
BALANCE,-0.09457982,-0.618275,4.090384
BALANCE,-0.09456098,-0.6130889,4.101293
BALANCE,-0.1180958,-0.6096787,4.1092
BALANCE,-0.1067763,-0.6121308,4.120566
BALANCE,-0.1004278,-0.610096,4.131472
BALANCE,-0.1407857,-0.6040951,4.143045
BALANCE,-0.1347852,-0.6107421,4.15397
BALANCE,-0.1737237,-0.5854161,4.16524
BALANCE,-0.2130194,-0.5554298,4.176063
BALANCE,-0.2272401,-0.5395702,4.187175
BALANCE,-0.2255701,-0.533649,4.198288
BALANCE,-0.2112606,-0.5382962,4.209274
BALANCE,-0.1994048,-0.5475002,4.220402
BALANCE,-0.1903557,-0.5571033,4.231808
BALANCE,-0.1936191,-0.5555349,4.242804
BALANCE,-0.1950635,-0.5550236,4.253865
BALANCE,-0.1932747,-0.5528499,4.264693
BALANCE,-0.2078817,-0.5594347,4.275969
BALANCE,-0.1963368,-0.5574484,4.287698
BALANCE,-0.2020162,-0.5607436,4.298448
BALANCE,-0.2018324,-0.5645909,4.309593
BALANCE,-0.1953904,-0.5749968,4.320717
BALANCE,-0.1506653,-0.603308,4.332181
BALANCE,-0.1495928,-0.6052679,4.343048
BALANCE,-0.1561005,-0.608466,4.354215
BALANCE,-0.168477,-0.6218016,4.365457
BALANCE,-0.1690983,-0.6250808,4.376446
BALANCE,-0.1720173,-0.6209974,4.387938
BALANCE,-0.2484823,-0.5849983,4.399077
BALANCE,-0.2512127,-0.5833356,4.409832
BALANCE,-0.2407273,-0.5918671,4.421425
BALANCE,-0.2434248,-0.5923392,4.43171
BALANCE,-0.2597808,-0.5881565,4.442434
BALANCE,-0.2634878,-0.5907408,4.453749
BALANCE,-0.2651078,-0.5934061,4.464921
BALANCE,-0.26976,-0.5968105,4.475711
BALANCE,-0.2750224,-0.6001859,4.487881
BALANCE,-0.2794885,-0.5995704,4.499164
BALANCE,-0.2834142,-0.6024857,4.510174
BALANCE,-0.2897651,-0.6034391,4.521334
BALANCE,-0.2758895,-0.6065171,4.532384
BALANCE,-0.276888,-0.6067765,4.543442
BALANCE,-0.2802941,-0.6092444,4.555074
BALANCE,-0.2223076,-0.6375806,4.566036
BALANCE,-0.1366641,-0.610242,4.576827
BALANCE,-0.09070164,-0.4911522,4.587053
BALANCE,-0.02817017,-0.3483108,4.597939
BALANCE,-0.1200151,-0.003213415,4.609094
BALANCE,-0.142102,0.02238081,4.620306
BALANCE,-0.1619965,0.04567361,4.63203
BALANCE,-0.1645253,0.04887522,4.643126
BALANCE,-0.1323815,0.03074891,4.654634
BALANCE,-0.1193199,0.01120843,4.665745
BALANCE,-0.06705803,-0.0319608,4.676826
BALANCE,-0.08443528,-0.02382142,4.686656
BALANCE,-0.09985566,-0.0385702,4.698095
BALANCE,-0.1025173,-0.02434573,4.708952
BALANCE,-0.07594067,-0.03143385,4.720162
BALANCE,-0.0623244,-0.02686263,4.731925
BALANCE,-0.03687441,-0.03264738,4.743262
BALANCE,-0.01826853,-0.03450777,4.75458
BALANCE,-0.01421684,-0.03478485,4.765705
BALANCE,-0.0133357,-0.03030425,4.776623
BALANCE,-0.01897657,-0.02883876,4.786657
BALANCE,-0.02538389,-0.02632118,4.797846
BALANCE,-0.05563384,-0.01912549,4.809343
BALANCE,-0.05653369,-0.01665841,4.82016
BALANCE,-0.06521088,-0.00814813,4.832201
BALANCE,-0.06744635,-0.00546726,4.8432
BALANCE,-0.06551069,-0.004217681,4.854416
BALANCE,-0.06159103,-0.0003542863,4.865544
BALANCE,-0.06671244,0.004265096,4.876558
BALANCE,-0.06972307,0.002642976,4.886556
BALANCE,-0.07581234,0.00367627,4.897994
BALANCE,-0.08160782,0.008945919,4.908875
BALANCE,-0.08688098,0.007948643,4.920053
BALANCE,-0.09036124,0.006809389,4.932592
BALANCE,-0.08834147,-0.002704374,4.943136
BALANCE,-0.08956856,-0.006579972,4.954362
BALANCE,-0.08756143,-0.02608584,4.965318
BALANCE,-0.07206339,-0.02953522,4.97657
BALANCE,-0.06939405,-0.03412173,4.987258
BALANCE,-0.07071257,-0.0411891,4.997787
BALANCE,-0.06797343,-0.04578699,5.009162
BALANCE,-0.07193065,-0.05010776,5.020254
BALANCE,-0.07764852,-0.05287084,5.031112
BALANCE,-0.07626712,-0.05827733,5.04206
BALANCE,-0.08191019,-0.05859888,5.053462
BALANCE,-0.08763772,-0.05671504,5.064738
BALANCE,-0.09850228,-0.02333336,5.075497
BALANCE,-0.1066244,-0.01640158,5.086634
BALANCE,-0.09592754,0.008337244,5.097634
BALANCE,-0.09607172,-0.01544005,5.108669
BALANCE,-0.08902341,-0.01730066,5.119895
BALANCE,-0.0825184,-0.05576608,5.131907
BALANCE,-0.08337623,-0.0509738,5.143276
BALANCE,-0.08512729,-0.04879558,5.154307
BALANCE,-0.06427097,-0.04652575,5.165445
BALANCE,-0.06632864,-0.04054343,5.17628
BALANCE,-0.06621546,-0.04166455,5.187598
BALANCE,-0.06841964,-0.04383036,5.198365
BALANCE,-0.06357539,-0.05920643,5.209712
BALANCE,-0.1760637,-0.03026801,5.220867
BALANCE,-0.2593201,0.0487026,5.231177
BALANCE,-0.3515611,0.03733964,5.242293
BALANCE,-0.3731713,0.04625829,5.253345
BALANCE,-0.357728,0.03659716,5.264545
BALANCE,-0.3564256,0.04026776,5.275704
BALANCE,-0.3697286,0.0457336,5.286641
BALANCE,-0.3745766,0.05369071,5.297624
BALANCE,-0.3517649,0.04438684,5.308951
BALANCE,-0.3470984,0.04153723,5.319868
BALANCE,-0.3499047,0.03894613,5.3311
BALANCE,-0.3112813,0.02693189,5.342023
BALANCE,-0.3213304,0.04120196,5.353137
BALANCE,-0.3236824,0.04014703,5.364629
BALANCE,-0.3250892,0.03652478,5.375731
BALANCE,-0.3332268,0.04448971,5.386673
BALANCE,-0.3357058,0.05909262,5.397721
BALANCE,-0.2249449,0.3967624,5.408756
BALANCE,-0.2489285,0.50924,5.419851
BALANCE,-0.1870139,0.6015094,5.431151
BALANCE,-0.1401792,0.6906696,5.441886
BALANCE,-0.1596608,0.6779944,5.453347
BALANCE,-0.1252549,0.6766186,5.464258
BALANCE,-0.1434606,0.6699107,5.475251
BALANCE,-0.1438886,0.6755664,5.486695
BALANCE,-0.1471114,0.6781579,5.497495
BALANCE,-0.1413108,0.6767608,5.508576
BALANCE,-0.1406077,0.6702169,5.519709
BALANCE,-0.1436938,0.6722117,5.531354
BALANCE,-0.1512364,0.6781877,5.542361
BALANCE,-0.1577091,0.6745124,5.553964
BALANCE,-0.1616164,0.6481643,5.564813
BALANCE,-0.1325306,0.6405762,5.575887
BALANCE,-0.1311903,0.6222242,5.586574
BALANCE,-0.1386886,0.6163799,5.597697
BALANCE,-0.1569882,0.620433,5.608517
BALANCE,-0.148683,0.616609,5.619631
BALANCE,-0.1370256,0.6129317,5.631438
BALANCE,-0.1281656,0.6104465,5.642465
BALANCE,-0.1213402,0.5926747,5.653902
BALANCE,-0.1994649,0.6206551,5.664975
BALANCE,-0.6503848,0.6002198,5.675974
BALANCE,-0.8902061,0.5019575,5.687638
