,word,count,log_count
280,islamic,326,5.786897381366708
281,regime,255,5.541263545158426
282,mid,631,6.447305862541213
283,raising,378,5.934894195619588
284,suspicions,57,4.04305126783455
285,washington,1846,7.520776415062797
286,elsewhere,290,5.66988092298052
287,living,1827,7.510430556378006
288,obligations,115,4.74493212836325
289,non,1352,7.20934025660291
290,proliferation,60,4.0943445622221
291,treaty,194,5.267858159063328
292,exile,58,4.060443010546419
293,group,2979,7.999342952713282
294,obtained,269,5.594711379601839
295,documents,385,5.953243334287785
296,revealing,126,4.836281906951478
297,clandestine,48,3.871201010907891
298,faced,365,5.8998973535824915
299,likelihood,97,4.574710978503383
300,government,3895,8.267448958304849
301,inspections,30,3.4011973816621555
302,energy,1381,7.2305631534092925
303,continuing,331,5.802118375377063
304,britain,275,5.616771097666572
305,france,420,6.040254711277414
306,germany,518,6.249975242259483
307,relative,372,5.918893854273146
308,moderate,204,5.318119993844216
309,succeeded,103,4.634728988229636
310,ahmadinejad,26,3.258096538021482
311,conservative,600,6.396929655216146
312,following,1370,7.222566018822171
313,january,697,6.546785410760524
314,announced,511,6.236369590203704
315,resume,95,4.553876891600541
316,leading,793,6.675823221634848
317,break,1359,7.214504414151143
318,running,1561,7.353081920515432
319,right,13411,9.50383054471094
320,enrich,24,3.1780538303479458
321,association,712,6.568077911411976
322,halted,30,3.4011973816621555
323,questions,1690,7.432483807917119
324,about,27869,10.235270238956767
325,earlier,1078,6.982862751468942
326,secret,663,6.4967749901858625
327,were,22508,10.021626080553169
328,resolved,124,4.820281565605037
329,bush,1135,7.034387929915503
330,response,1022,6.92951677076365
331,security,1732,7.4570320891223805
332,council,647,6.472346294500901
333,voted,346,5.846438775057725
334,december,554,6.317164686747284
335,impose,85,4.442651256490317
336,failing,173,5.153291594497779
337,heed,37,3.6109179126442243
338,calls,881,6.78105762593618
339,suspension,84,4.430816798843313
340,hawks,50,3.912023005428146
341,led,1156,7.052721049232323
342,vice,544,6.298949246855942
343,dick,310,5.736572297479192
344,cheney,59,4.07753744390572
345,favor,503,6.220590170099739
346,consideration,228,5.429345628954441
347,more,20965,9.950609659604863
348,aggressive,264,5.575949103146316
349,measures,523,6.259581464064923
350,including,2392,7.779885115070522
351,possible,1938,7.569411792450712
352,air,1953,7.577121930876679
353,strikes,164,5.099866427824199
354,secretary,644,6.467698726104354
355,state,5249,8.5657928612523
356,rice,488,6.1903154058531475
357,pushed,406,6.0063531596017325
358,diplomacy,85,4.442651256490317
359,george,1492,7.307872780763706
360,sided,78,4.356708826689592
361,declared,195,5.272999558563747
362,negotiate,117,4.762173934797756
363,directly,683,6.52649485957079
364,followed,822,6.71174039505618
365,situation,1318,7.183870715062453
366,when,21978,9.997797232006869
367,intelligence,588,6.376726947898627
368,agencies,476,6.16541785423142
369,issued,308,5.730099782973574
370,national,2858,7.957877358489813
371,estimate,181,5.198497031265826
372,concluded,222,5.402677381872279
373,portion,287,5.659482215759621
374,remained,422,6.045005314036012
375,hold,1691,7.43307534889858
376,document,307,5.726847747587197
377,probably,2543,7.841099765422119
378,able,2570,7.851661177889265
379,produce,572,6.349138991379798
380,between,5194,8.555259392222693
381,there,27373,10.217312405089107
382,no,23179,10.051001975324677
383,evidence,1585,7.368339686311381
384,decided,1154,7.050989447068045
385,do,41723,10.638807814487269
386,assessment,422,6.045005314036012
387,estimates,250,5.521460917862246
388,given,2205,7.6984827878809465
389,april,751,6.621405651764134
390,roughly,272,5.605802066295998
391,june,1011,6.918695219020472
392,run,2675,7.891704659330107
393,vote,1394,7.2399325913204695
394,clear,1804,7.4977617006225685
395,now,15004,9.616072111201778
396,think,13889,9.53885243891622
397,revived,40,3.6888794541139363
398,elements,442,6.091309882077698
399,design,1153,7.050122520269059
400,gone,1628,7.395107546562485
401,dormant,24,3.1780538303479458
402,request,316,5.755742213586912
403,specialized,111,4.709530201312334
404,bunker,32,3.4657359027997265
405,busting,37,3.6109179126442243
406,bombs,145,4.976733742420574
407,wanted,2968,7.995643604287271
408,main,1134,7.033506484287697
409,complex,641,6.46302945692067
410,told,4071,8.31164394850298
411,israelis,80,4.382026634673881
412,authorized,110,4.700480365792417
413,covert,221,5.3981627015177525
414,foreign,1171,7.065613363597717
415,white,4203,8.343553835005117
416,house,5384,8.591186871324563
417,denied,284,5.648974238161206
418,fly,508,6.230481447578482
419,iraq,748,6.617402977974478
420,reach,801,6.68586094706836
421,major,1839,7.516977224604321
422,backed,220,5.393627546352362
423,plans,870,6.76849321164863
424,least,3010,8.009695357742922
425,temporarily,83,4.418840607796598
426,tense,91,4.51085950651685
427,exchanges,92,4.5217885770490405
428,prompted,122,4.804021044733257
429,sharing,425,6.052089168924417
430,brief,402,5.996452088619021
431,efforts,733,6.597145701886651
432,subtly,37,3.6109179126442243
433,sabotage,31,3.4339872044851463
434,infrastructure,177,5.176149732573829
435,conflict,422,6.045005314036012
436,spent,1230,7.114769448366463
437,office,2296,7.738923757439457
438,trying,3003,8.00736706798333
439,engage,308,5.730099782973574
440,only,11543,9.353834471614912
441,see,11946,9.388151773292252
442,back,11509,9.350884616968491
443,away,4420,8.393894975071744
444,tentative,47,3.8501476017100584
445,agreement,539,6.289715570908998
446,ship,564,6.335054251498059
447,some,15646,9.657970572245025
448,out,23357,10.058652004037477
449,created,1038,6.945051063725834
450,rapid,200,5.298317366548036
451,if,25430,10.143684858416165
452,risky,82,4.406719247264253
453,sprint,69,4.23410650459726
454,reports,858,6.754604099487962
455,delivered,307,5.726847747587197
456,deliberately,120,4.787491742782046
457,stopped,872,6.77078942390898
458,short,1709,7.443663683115591
459,steps,685,6.529418838262226
460,prime,444,6.095824562432225
461,minister,444,6.095824562432225
462,gordon,204,5.318119993844216
463,brown,1317,7.183111701743281
464,nicolas,33,3.4965075614664802
465,sarkozy,22,3.091042453358316
466,revealed,394,5.976350909297934
467,existence,369,5.910796644040527
468,tracking,149,5.003946305945459
469,project,1278,7.15305163493748
470,public,3379,8.12533508671429
471,discovered,550,6.309918278226516
472,secrecy,49,3.8918202981106265
473,surrounding,251,5.5254529391317835
474,breached,24,3.1780538303479458
475,then,12223,9.411074701777263
476,held,1359,7.214504414151143
